YEAR,ORIGIN_STATE_NM,DEST_STATE_NM,TOTAL_FLIGHTS
2013,North Dakota,Colorado,8372
2013,North Dakota,Georgia,4
2013,North Dakota,Illinois,4642
2013,North Dakota,Minnesota,11392
2013,North Dakota,Texas,642
2013,North Dakota,Utah,828
2013,Ohio,Arizona,1755
2013,Ohio,California,2859
2013,Ohio,Colorado,3993
2013,Ohio,Connecticut,123
2013,Ohio,Florida,6831
2013,Ohio,Georgia,14744
2013,Ohio,Illinois,21210
2013,Ohio,Indiana,930
2013,Ohio,Kentucky,667
2013,Ohio,Louisiana,142
2013,Ohio,Maine,382
2013,Ohio,Maryland,6103
2013,Ohio,Massachusetts,1755
2013,Ohio,Michigan,4619
2013,Ohio,Minnesota,6732
2013,Ohio,Missouri,1782
2013,Ohio,Nevada,2678
2013,Ohio,New Hampshire,597
2013,Ohio,New Jersey,5327
2013,Ohio,New York,5584
2013,Ohio,North Carolina,5760
2013,Ohio,Ohio,396
2013,Ohio,Oklahoma,519
2013,Ohio,Oregon,165
2013,Ohio,Pennsylvania,534
2013,Ohio,Rhode Island,132
2013,Ohio,South Carolina,287
2013,Ohio,Tennessee,3679
2013,Ohio,Texas,8447
2013,Ohio,Vermont,767
2013,Ohio,Virginia,1959
2013,Ohio,Washington,193
2013,Ohio,Wisconsin,2849
2013,Oklahoma,Arizona,2077
2013,Oklahoma,California,2916
2013,Oklahoma,Colorado,7497
2013,Oklahoma,Florida,116
2013,Oklahoma,Georgia,5443
2013,Oklahoma,Illinois,8120
2013,Oklahoma,Maryland,730
2013,Oklahoma,Michigan,1880
2013,Oklahoma,Minnesota,2620
2013,Oklahoma,Missouri,2268
2013,Oklahoma,Nevada,1818
2013,Oklahoma,New Jersey,1006
2013,Oklahoma,Ohio,519
2013,Oklahoma,Tennessee,279
2013,Oklahoma,Texas,15278
2013,Oklahoma,Utah,2046
2013,Oregon,Alaska,1978
2013,Oregon,Arizona,7134
2013,Oregon,California,24303
